#ELAPSED_USECS.D,LUN_SSID.I,LBA.I,NBLKS.I,NBLKS_ACCESSED.I,NBLKS_PREVGAP.I
4644871362434.403,17,44456,1,2,0
4644931362434.403,17,44456,1,2,0
4644931362434.403,17,9252744,2096,40,9208287
4644931362434.403,17,9263544,8,8,8704
4644931362434.403,17,9341544,8,8,77992
4644931362434.403,17,10480160,126,126,1138608
4644931362434.403,17,11075168,8,8,594882
4644931362434.403,17,11090392,1,1,15216
4644931362434.403,17,11663360,16,24,572967
4644931362434.403,17,11700256,2008,328,36880
4644931362434.403,17,12545168,64,64,842904
4644931362434.403,17,13266176,14,14,720944
4644931362434.403,17,13348552,24,24,82362
4644931362434.403,17,13363696,16,10,15120
4644931362434.403,17,13366928,16,11,3216
4644931362434.403,17,14444288,8,8,1077344
4644931362434.403,17,15348512,976,40,904216
4644931362434.403,17,16222320,16,24,872832
4644931362434.403,17,16224584,2550,28,2248
4644931362434.403,17,16230048,12928,306,2914
4644931362434.403,17,16245424,8446,919,2448
4644931362434.403,17,16256616,2952,64,2746
4644931362434.403,17,16262440,3,3,2872
4644931362434.403,17,16264880,2496,97,2437
4644931362434.403,17,16271248,224,26,3872
4644931362434.403,17,16275008,14,11,3536
4644931362434.403,17,16277248,1336,41,2226
4644931362434.403,17,16281328,968,216,2744
4644931362434.403,17,16285408,392,392,3112
4644931362434.403,17,16288608,6384,648,2808
4644931362434.403,17,16297968,6056,4072,2976
4644931362434.403,17,16306168,64,32,2144
4644931362434.403,17,16308408,56,48,2176
4644931362434.403,17,16310848,8,8,2384
4644931362434.403,17,16313288,24,24,2432
4644931362434.403,17,16316272,736,40,2960
4644931362434.403,17,16319808,48,24,2800
4644931362434.403,17,16322400,8456,97,2544
4644931362434.403,17,16333840,2000,88,2984
4644931362434.403,17,16338560,8,8,2720
4644931362434.403,17,16340904,7762,4154,2336
4644931362434.403,17,16351184,7120,315,2518
4644931362434.403,17,16360512,70,70,2208
4644931362434.403,17,16363512,4208,376,2930
4644931362434.403,17,16369952,2003,59,2232
4644931362434.403,17,16375080,8,8,3125
4644931362434.403,17,16377832,120,120,2744
4644931362434.403,17,16381672,512,16,3720
4644931362434.403,17,16385528,8,8,3344
4644991362434.403,17,44456,1,2,0
4644991362434.403,17,562769,1,2,518312
4644991362434.403,17,9081600,1200,24,8518830
4644991362434.403,17,9229840,110,14,147040
4644991362434.403,17,9252744,16,16,22794
4644991362434.403,17,9254840,8,8,2080
4644991362434.403,17,9341544,8,8,86696
4644991362434.403,17,9477784,1,1,136232
4644991362434.403,17,10092112,88,88,614327
4644991362434.403,17,10096768,1,1,4568
4644991362434.403,17,10348408,1,1,251639
4644991362434.403,17,10475064,72,72,126655
4644991362434.403,17,10480160,424,415,5024
4644991362434.403,17,11097560,102,102,616976
4644991362434.403,17,11143976,88,88,46314
4644991362434.403,17,11152888,86,86,8824
4644991362434.403,17,11245376,424,241,92402
4644991362434.403,17,11585056,8,8,339256
4644991362434.403,17,11593632,8,8,8568
4644991362434.403,17,11656264,8,8,62624
4644991362434.403,17,11663360,16,24,7088
4644991362434.403,17,11707208,16,16,43832
4644991362434.403,17,11710560,8,8,3336
4644991362434.403,17,11756488,8,8,45920
4644991362434.403,17,11766200,32,16,9704
4644991362434.403,17,11770424,8,8,4192
4644991362434.403,17,11781384,8,8,10952
4644991362434.403,17,11784088,8,8,2696
4644991362434.403,17,11815232,776,48,31136
4644991362434.403,17,11819536,2560,152,3528
4644991362434.403,17,11824168,248,32,2072
4644991362434.403,17,11904504,120,120,80088
4644991362434.403,17,11974600,2,2,69976
4644991362434.403,17,12059616,2,2,85014
4644991362434.403,17,12558184,168,63,498566
4644991362434.403,17,12562912,56,109,4560
4644991362434.403,17,12576968,8,8,14000
4644991362434.403,17,12730528,85,75,153552
4644991362434.403,17,12858384,40,40,127771
4644991362434.403,17,12866520,1,1,8096
4644991362434.403,17,12886688,55,55,20167
4644991362434.403,17,13055144,482,39,168401
4644991362434.403,17,13323904,24,17,268278
4644991362434.403,17,13364288,11,11,40360
4644991362434.403,17,13366936,8,8,2637
4644991362434.403,17,13407456,9,4,40512
4644991362434.403,17,13469904,9,2,62439
4644991362434.403,17,13472368,16,16,2455
4644991362434.403,17,13499208,289,18,26824
4644991362434.403,17,13573368,344,104,73871
4644991362434.403,17,13582528,42,12,8816
4644991362434.403,17,13613568,11,8,30998
4644991362434.403,17,13662568,24,24,48989
4644991362434.403,17,13666712,16,10,4120
4644991362434.403,17,13669664,1769,19,2936
4644991362434.403,17,13673904,864,51,2471
4644991362434.403,17,13678960,1580,30,4192
4644991362434.403,17,13684944,186,32,4404
4644991362434.403,17,14030872,8,16,345742
4644991362434.403,17,14148240,634,116,117360
4644991362434.403,17,14197944,201,32,49070
4644991362434.403,17,14443872,649,52,245727
4644991362434.403,17,14446632,1680,62,2111
4644991362434.403,17,15266584,72,72,818272
4644991362434.403,17,15354064,4,4,87408
4644991362434.403,17,15953984,5,5,599916
4644991362434.403,17,16222328,8,16,268339
4644991362434.403,17,16224576,1040,16,2240
4644991362434.403,17,16232624,3499,63,7008
4644991362434.403,17,16238024,1816,112,1901
4644991362434.403,17,16241776,1224,64,1936
4644991362434.403,17,16245328,3195,283,2328
4644991362434.403,17,16252768,830,166,4245
4644991362434.403,17,16256616,24,24,3018
4644991362434.403,17,16259560,2913,38,2920
4644991362434.403,17,16264880,668,91,2407
4644991362434.403,17,16267352,1907,154,1804
4644991362434.403,17,16271464,56,16,2205
4644991362434.403,17,16278552,30,30,7032
4644991362434.403,17,16282160,134,13,3578
4644991362434.403,17,16284904,896,360,2610
4644991362434.403,17,16290160,2328,417,4360
4644991362434.403,17,16294976,12,12,2488
4644991362434.403,17,16297968,16,24,2980
4644991362434.403,17,16305480,880,90,7496
4644991362434.403,17,16314840,88,88,8480
4644991362434.403,17,16317480,16,16,2552
4644991362434.403,17,16324448,8,8,6952
4644991362434.403,17,16326560,14,14,2104
4644991362434.403,17,16328560,544,25,1986
4644991362434.403,17,16330976,232,136,1872
4644991362434.403,17,16335984,32,32,4776
4644991362434.403,17,16347336,1474,402,11320
4644991362434.403,17,16351184,3544,713,2374
4644991362434.403,17,16358424,67,67,3696
4644991362434.403,17,16360512,72,80,2021
4644991362434.403,17,16367720,4241,1967,7136
4644991362434.403,17,16376000,3600,1240,4039
4644991362434.403,17,16382128,10,10,2528
4644991362434.403,17,16386920,16,19,4782
4644991362434.403,17,16389488,2856,156,2552
4644991362434.403,17,16394240,6456,5472,1896
4644991362434.403,17,16403768,5020,157,3072
4644991362434.403,17,16412104,1172,398,3316
4644991362434.403,17,16415664,9,9,2388
4644991362434.403,17,16418424,2880,62,2751
4644991362434.403,17,16424520,24,24,3216
4644991362434.403,17,16426632,16,16,2088
4644991362434.403,17,16428576,6624,4251,1928
4644991362434.403,17,16437080,2457,110,1880
4644991362434.403,17,16442240,1370,20,2703
4644991362434.403,17,16447456,11,4,3846
4644991362434.403,17,16449400,343,343,1933
4644991362434.403,17,16451776,11,11,2033
4644991362434.403,17,16453744,12,6,1957
4644991362434.403,17,16456800,896,62,3044
4644991362434.403,17,16459632,1333,47,1936
4644991362434.403,17,16462880,224,31,1915
4644991362434.403,17,16464992,512,512,1888
4644991362434.403,17,16467472,680,45,1968
4644991362434.403,17,16470784,1949,56,2632
4644991362434.403,17,16474496,46,39,1763
4644991362434.403,17,16477152,1243,28,2610
4644991362434.403,17,16481848,8,8,3453
4644991362434.403,17,16484240,14,14,2384
4644991362434.403,17,16486136,6408,2089,1882
4644991362434.403,17,16494552,160,34,2008
4644991362434.403,17,16496544,8,16,1832
4644991362434.403,17,16498448,1873,83,1896
4644991362434.403,17,16502368,9,9,2047
4644991362434.403,17,16504360,45,45,1983
4644991362434.403,17,16506744,13,13,2339
4644991362434.403,17,16508584,5426,57,1827
4644991362434.403,17,16516920,1640,78,2910
4644991362434.403,17,16520688,16,16,2128
4644991362434.403,17,16522816,878,17,2112
4644991362434.403,17,16526000,1674,64,2306
4644991362434.403,17,16530944,5823,4156,3270
4644991362434.403,17,16539176,1080,78,2409
4644991362434.403,17,16542712,71,71,2456
4644991362434.403,17,16544952,40,40,2169
4644991362434.403,17,16547264,1004,76,2272
4644991362434.403,17,16551760,6663,4273,3492
4644991362434.403,17,16560904,24,24,2481
4644991362434.403,17,16562712,16,16,1784
4644991362434.403,17,16565872,2608,112,3144
4644991362434.403,17,16572328,96,96,3848
4644991362434.403,17,16574464,7704,4192,2040
4644991362434.403,17,16584520,2288,137,2352
4644991362434.403,17,16590760,3249,361,3952
4644991362434.403,17,16596560,10730,6244,2551
4644991362434.403,17,16610624,1817,154,3334
4644991362434.403,17,16614368,1616,124,1927
4644991362434.403,17,16618360,20,20,2376
4644991362434.403,17,16620992,4672,4111,2612
4644991362434.403,17,16627688,142,142,2024
4644991362434.403,17,16630328,2993,7,2498
4644991362434.403,17,16635568,4528,301,2247
4644991362434.403,17,16642240,91,16,2144
4644991362434.403,17,16644096,2429,2061,1765
4644991362434.403,17,16650184,4193,82,3659
4644991362434.403,17,16657856,2065,139,3479
4644991362434.403,17,16661944,3,3,2023
4644991362434.403,17,16664192,304,46,2245
4644991362434.403,17,16666488,6547,2239,1992
4644991362434.403,17,16675552,2604,49,2517
4644991362434.403,17,16680464,752,27,2308
4644991362434.403,17,16683008,12696,10271,1792
4644991362434.403,17,16698424,14168,8432,2720
4644991362434.403,17,16714544,10,10,1952
4644991362434.403,17,16716384,20752,10387,1830
4644991362434.403,17,16739480,40,40,2344
4644991362434.403,17,16742352,8,8,2832
4644991362434.403,17,16744440,8,8,2080
4644991362434.403,17,16746352,3048,135,1904
4644991362434.403,17,16752024,2680,64,2624
4644991362434.403,17,16756736,5585,4128,2032
4644991362434.403,17,16764728,2315,236,2407
4644991362434.403,17,16770968,363,178,3925
4644991362434.403,17,16773120,10513,8655,1789
4644991362434.403,17,16785408,6233,4099,1775
4644991362434.403,17,16794432,1818,12,2791
4644991362434.403,17,16798208,8,8,1958
4644991362434.403,17,16801488,1,1,3272
4644991362434.403,17,16803792,72,72,2303
4644991362434.403,17,16806456,8,8,2592
4644991362434.403,17,16808424,6688,343,1960
4644991362434.403,17,16817160,7168,4232,2048
4644991362434.403,17,16826432,8,8,2104
4644991362434.403,17,16829760,8,8,3320
4644991362434.403,17,16831680,8,8,1912
4644991362434.403,17,16834488,1208,56,2800
4644991362434.403,17,16838120,8,8,2424
4644991362434.403,17,16840264,6742,4124,2136
4644991362434.403,17,16849120,7,7,2114
4644991362434.403,17,16850952,2745,168,1825
4644991362434.403,17,16856184,3,3,2487
4644991362434.403,17,16858096,2,2,1909
4644991362434.403,17,16859928,1722,8,1830
4644991362434.403,17,16865096,6419,4124,3446
4644991362434.403,17,16874568,6811,2121,3053
4644991362434.403,17,16883400,2456,207,2021
4644991362434.403,17,16887808,6576,3140,1952
4644991362434.403,17,16896680,14,14,2296
4644991362434.403,17,16899648,2512,38,2954
4645051362434.403,17,44456,1,2,0
4645051362434.403,17,562769,1,2,518312
4645051362434.403,17,9096600,31,8,8533830
4645051362434.403,17,9144864,2,2,48233
4645051362434.403,17,9163832,42,42,18966
4645051362434.403,17,9166024,10,10,2150
4645051362434.403,17,9235416,21,21,69382
4645051362434.403,17,9250624,4224,841,15187
4645051362434.403,17,9341544,8,8,86696
4645051362434.403,17,9351864,736,736,10312
4645051362434.403,17,9367088,704,704,14488
4645051362434.403,17,9389104,43,43,21312
4645051362434.403,17,9476432,8,8,87285
4645051362434.403,17,9541976,592,592,65536
4645051362434.403,17,9544672,680,680,2104
4645051362434.403,17,11075168,16,16,1529816
4645051362434.403,17,11090392,1,1,15208
4645051362434.403,17,11130728,80,48,40335
4645051362434.403,17,11137608,20,20,6800
4645051362434.403,17,11140848,649,593,3220
4645051362434.403,17,11158520,20,20,17023
4645051362434.403,17,11174656,21,21,16116
4645051362434.403,17,11245240,7,7,70563
4645051362434.403,17,11284352,640,640,39105
4645051362434.403,17,11592440,8,8,307448
4645051362434.403,17,11663360,16,24,70912
4645051362434.403,17,11700224,2040,480,36848
4645051362434.403,17,11725712,8,8,23448
4645051362434.403,17,11747624,1176,16,21904
4645051362434.403,17,11756488,8,8,7688
4645051362434.403,17,11766120,112,16,9624
4645051362434.403,17,11781384,8,8,15152
4645051362434.403,17,11784088,8,8,2696
4645051362434.403,17,11815440,80,16,31344
4645051362434.403,17,11819224,6432,776,3704
4645051362434.403,17,11892032,16,16,66376
4645051362434.403,17,11975640,5,5,83592
4645051362434.403,17,12058648,448,444,83003
4645051362434.403,17,12558344,8,8,499248
4645051362434.403,17,12929064,80,80,370712
4645051362434.403,17,13573432,280,56,644288
4645051362434.403,17,13666528,8,8,92816
4645051362434.403,17,13678384,2504,512,11848
4645051362434.403,17,15284040,64,64,1603152
4645051362434.403,17,15348480,56,32,64376
4645051362434.403,17,15354000,32,32,5464
4645051362434.403,17,15362512,112,224,8480
4645051362434.403,17,15952480,144,288,589856
4645051362434.403,17,16237832,5168,471,285208
4645051362434.403,17,16245424,2984,472,2424
4645051362434.403,17,16256616,32,32,8208
4645051362434.403,17,16259376,2,2,2728
4645051362434.403,17,16262448,10,17,3070
4645051362434.403,17,16281328,840,265,18870
4645051362434.403,17,16284328,560,560,2160
4645051362434.403,17,16288040,2536,664,3152
4645051362434.403,17,16294176,8,8,3600
4645051362434.403,17,16297968,16,24,3784
4645051362434.403,17,16303880,152,104,5896
4645051362434.403,17,16306160,2312,128,2128
4645051362434.403,17,16310832,24,24,2360
4645051362434.403,17,16313288,3696,240,2432
4645051362434.403,17,16319808,7432,1312,2824
4645051362434.403,17,16330848,48,40,3608
4645051362434.403,17,16333832,2008,80,2936
4645051362434.403,17,16338368,208,39,2528
